customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_tenure_ratio,TotalCharges_to_tenure_ratio
7590-VHVEG,1,1,0,0,29.85,29.85,1,0.03350083752093802,0.03350083752093802
5575-GNVDE,34,0,1,1,56.95,1889.5,1,0.5970149253731343,0.01799417835406192
3668-QPYBK,2,0,0,1,53.85,108.15,0,0.03714020427112349,0.01849283402681461
7795-CFOCW,45,1,1,2,42.3,1840.75,1,1.0638297872340425,0.024446557109873694
9237-HQITU,2,0,0,0,70.7,151.65,0,0.028288543140028287,0.013188262446422683
9305-CDSKC,8,0,0,0,99.65,820.5,0,0.08028098344204716,0.009750152346130409
1452-KIOVK,22,0,0,3,89.1,1949.4,1,0.2469135802469136,0.01128552375089771
6713-OKOMC,10,1,0,1,29.75,301.9,1,0.33613445378151263,0.03312355084465055
7892-POOKP,28,0,0,0,104.8,3046.05,0,0.26717557251908397,0.009192232563483855
6388-TABGU,62,0,1,2,56.15,3487.95,1,1.1041852181656278,0.017775484166917533
9763-GRSKD,13,0,0,1,49.95,587.45,1,0.2602602602602602,0.022129542939824665
7469-LKBCI,16,0,2,3,18.95,326.8,1,0.8443271767810027,0.04895960832313341
8091-TTVAX,58,0,1,3,100.35,5681.1,1,0.5779770802192327,0.010209290454313425
0280-XJGEX,49,0,0,2,103.7,5036.3,0,0.47251687560270006,0.009729364811468737
5129-JLPIS,25,0,0,0,105.5,2686.05,1,0.23696682464454977,0.009307347219895385
3655-SNQYZ,69,0,2,3,113.25,7895.15,1,0.609271523178808,0.008739542630602332
8191-XWSZG,52,0,1,1,20.65,1022.95,1,2.5181598062953996,0.05083337406520357
9959-WOFKT,71,0,2,2,106.7,7382.25,1,0.6654170571696345,0.009617663991330556
4190-MFLUW,10,0,0,3,55.2,528.35,0,0.18115942028985507,0.018926847733509982
4183-MYFRB,21,0,0,0,90.05,1862.9,1,0.2332037756801777,0.011272746792635138
8779-QRDMV,1,1,0,0,39.65,39.65,0,0.025220680958385876,0.025220680958385876
1680-VDCWW,12,0,1,2,19.8,202.25,1,0.6060606060606061,0.059332509270704575
1066-JKSGK,1,0,0,1,20.15,20.15,0,0.04962779156327544,0.04962779156327544
3638-WEABW,58,0,2,3,59.9,3505.1,1,0.9682804674457429,0.016547316766996664
6322-HRPFA,49,0,0,3,59.6,2970.3,1,0.8221476510067114,0.016496650170016496
6865-JZNKO,30,0,0,2,55.3,1530.6,1,0.5424954792043399,0.01960015680125441
6467-CHFZW,47,0,0,0,99.35,4749.15,0,0.47307498741821846,0.00989650779613194
8665-UTDHZ,1,1,0,0,30.2,30.2,0,0.033112582781456956,0.033112582781456956
5248-YGIJN,72,0,2,3,90.25,6369.45,1,0.7977839335180056,0.011303958740550598
8773-HHUOZ,17,0,0,1,64.7,1093.1,0,0.26275115919629055,0.015552099533437015
3841-NFECX,71,0,2,3,96.35,6766.95,1,0.7368967306694344,0.010492171510059925
4929-XIHVW,2,0,0,3,95.5,181.65,1,0.020942408376963352,0.011010184420589044
6827-IEAUQ,27,0,1,1,66.15,1874.45,1,0.4081632653061224,0.014404225239403557
7310-EGVHZ,1,0,0,2,20.2,20.2,1,0.04950495049504951,0.04950495049504951
3413-BMNZE,1,0,0,2,45.25,45.25,1,0.022099447513812154,0.022099447513812154
6234-RAAPL,72,0,2,2,99.9,7251.7,1,0.7207207207207207,0.00992870637229891
6047-YHPVI,5,0,0,0,69.7,316.9,0,0.07173601147776183,0.01577784790154623
6572-ADKRS,46,0,0,3,74.8,3548.3,1,0.6149732620320856,0.012963954569793986
5380-WJKOV,34,0,0,0,106.35,3549.25,0,0.31969910672308416,0.00957948862435726
8168-UQWWF,11,0,0,2,97.85,1105.4,0,0.11241696474195198,0.00995114890537362
8865-TNMNX,10,0,1,1,49.55,475.7,1,0.20181634712411706,0.021021652301870926
9489-DEDVP,70,0,2,3,69.2,4872.35,1,1.0115606936416184,0.014366783995402628
9867-JCZSP,17,0,1,1,20.75,418.25,1,0.8192771084337349,0.04064554692169755
4671-VJLCL,63,0,2,3,79.85,4861.45,1,0.7889793362554791,0.01295909656583941
4080-IIARD,13,0,0,0,76.2,981.45,1,0.1706036745406824,0.013245707881196188
3714-NTNFO,49,0,0,0,84.5,3906.7,1,0.5798816568047337,0.01254255509765275
